Sample	ID	Lane	Patient	Type	RG9MTD1	RG9MTD1_num	Expression	Gene
078N	078N-R18008551LD01-BDESCCDNA078-N	R18008551LD01	78	Normal	NO	0	6.666	MT-ATP8
078N	078N-R18008551LD01-BDESCCDNA078-N	R18008551LD01	78	Normal	NO	0	3460.679	MT-CO1
078N	078N-R18008551LD01-BDESCCDNA078-N	R18008551LD01	78	Normal	NO	0	716.549	MT-CO2
078N	078N-R18008551LD01-BDESCCDNA078-N	R18008551LD01	78	Normal	NO	0	2213.843	MT-CO3
078N	078N-R18008551LD01-BDESCCDNA078-N	R18008551LD01	78	Normal	NO	0	193.381	MT-CYB
078N	078N-R18008551LD01-BDESCCDNA078-N	R18008551LD01	78	Normal	NO	0	98.872	MT-ND1
078N	078N-R18008551LD01-BDESCCDNA078-N	R18008551LD01	78	Normal	NO	0	81.85	MT-ND2
078N	078N-R18008551LD01-BDESCCDNA078-N	R18008551LD01	78	Normal	NO	0	159.101	MT-ND3
078N	078N-R18008551LD01-BDESCCDNA078-N	R18008551LD01	78	Normal	NO	0	236.469	MT-ND4
078N	078N-R18008551LD01-BDESCCDNA078-N	R18008551LD01	78	Normal	NO	0	25.948	MT-ND4L
078N	078N-R18008551LD01-BDESCCDNA078-N	R18008551LD01	78	Normal	NO	0	139.025	MT-ND5
078N	078N-R18008551LD01-BDESCCDNA078-N	R18008551LD01	78	Normal	NO	0	7.856	MT-ND6
078N	078N-R18008551LD01-BDESCCDNA078-N	R18008551LD01	78	Normal	NO	0	231.391	MT-RNR1
078N	078N-R18008551LD01-BDESCCDNA078-N	R18008551LD01	78	Normal	NO	0	1478.329	MT-RNR2
079T	079T-R18008554LD01-BDESCCDNA079-T	R18008554LD01	79	Tumor	NO	0	56.775	MT-ATP6
079T	079T-R18008554LD01-BDESCCDNA079-T	R18008554LD01	79	Tumor	NO	0	1.938	MT-ATP8
079T	079T-R18008554LD01-BDESCCDNA079-T	R18008554LD01	79	Tumor	NO	0	1357.915	MT-CO1
079T	079T-R18008554LD01-BDESCCDNA079-T	R18008554LD01	79	Tumor	NO	0	374.583	MT-CO2
079T	079T-R18008554LD01-BDESCCDNA079-T	R18008554LD01	79	Tumor	NO	0	919.96	MT-CO3
079T	079T-R18008554LD01-BDESCCDNA079-T	R18008554LD01	79	Tumor	NO	0	70.2	MT-CYB
079T	079T-R18008554LD01-BDESCCDNA079-T	R18008554LD01	79	Tumor	NO	0	44.068	MT-ND1
079T	079T-R18008554LD01-BDESCCDNA079-T	R18008554LD01	79	Tumor	NO	0	47.353	MT-ND2
079T	079T-R18008554LD01-BDESCCDNA079-T	R18008554LD01	79	Tumor	NO	0	72.414	MT-ND3
079T	079T-R18008554LD01-BDESCCDNA079-T	R18008554LD01	79	Tumor	NO	0	97.161	MT-ND4
079T	079T-R18008554LD01-BDESCCDNA079-T	R18008554LD01	79	Tumor	NO	0	14.339	MT-ND4L
079T	079T-R18008554LD01-BDESCCDNA079-T	R18008554LD01	79	Tumor	NO	0	62.781	MT-ND5
079T	079T-R18008554LD01-BDESCCDNA079-T	R18008554LD01	79	Tumor	NO	0	7.197	MT-ND6
079T	079T-R18008554LD01-BDESCCDNA079-T	R18008554LD01	79	Tumor	NO	0	46.172	MT-RNR1
079T	079T-R18008554LD01-BDESCCDNA079-T	R18008554LD01	79	Tumor	NO	0	333.449	MT-RNR2
080N	080N-R18018784LD01-BDESCCDNA080-N	R18018784LD01	80	Normal	NO	0	215.267	MT-ATP6
080N	080N-R18018784LD01-BDESCCDNA080-N	R18018784LD01	80	Normal	NO	0	9.72	MT-ATP8
080N	080N-R18018784LD01-BDESCCDNA080-N	R18018784LD01	80	Normal	NO	0	4362.617	MT-CO1
080N	080N-R18018784LD01-BDESCCDNA080-N	R18018784LD01	80	Normal	NO	0	901.799	MT-CO2
080N	080N-R18018784LD01-BDESCCDNA080-N	R18018784LD01	80	Normal	NO	0	2386.552	MT-CO3
080N	080N-R18018784LD01-BDESCCDNA080-N	R18018784LD01	80	Normal	NO	0	258.336	MT-CYB
080N	080N-R18018784LD01-BDESCCDNA080-N	R18018784LD01	80	Normal	NO	0	95.171	MT-ND1
080N	080N-R18018784LD01-BDESCCDNA080-N	R18018784LD01	80	Normal	NO	0	132.054	MT-ND2
080N	080N-R18018784LD01-BDESCCDNA080-N	R18018784LD01	80	Normal	NO	0	146.606	MT-ND3
080N	080N-R18018784LD01-BDESCCDNA080-N	R18018784LD01	80	Normal	NO	0	371.882	MT-ND4
080N	080N-R18018784LD01-BDESCCDNA080-N	R18018784LD01	80	Normal	NO	0	34.288	MT-ND4L
080N	080N-R18018784LD01-BDESCCDNA080-N	R18018784LD01	80	Normal	NO	0	188.852	MT-ND5
080N	080N-R18018784LD01-BDESCCDNA080-N	R18018784LD01	80	Normal	NO	0	3.258	MT-ND6
080N	080N-R18018784LD01-BDESCCDNA080-N	R18018784LD01	80	Normal	NO	0	122.198	MT-RNR1
080N	080N-R18018784LD01-BDESCCDNA080-N	R18018784LD01	80	Normal	NO	0	1226.042	MT-RNR2
080T	080T-R18018785LD01-BDESCCDNA080-T	R18018785LD01	80	Tumor	NO	0	227.949	MT-ATP6
080T	080T-R18018785LD01-BDESCCDNA080-T	R18018785LD01	80	Tumor	NO	0	11.711	MT-ATP8
080T	080T-R18018785LD01-BDESCCDNA080-T	R18018785LD01	80	Tumor	NO	0	3428.582	MT-CO1
080T	080T-R18018785LD01-BDESCCDNA080-T	R18018785LD01	80	Tumor	NO	0	719.759	MT-CO2
080T	080T-R18018785LD01-BDESCCDNA080-T	R18018785LD01	80	Tumor	NO	0	1698.787	MT-CO3
080T	080T-R18018785LD01-BDESCCDNA080-T	R18018785LD01	80	Tumor	NO	0	171.723	MT-CYB
080T	080T-R18018785LD01-BDESCCDNA080-T	R18018785LD01	80	Tumor	NO	0	109.921	MT-ND1
080T	080T-R18018785LD01-BDESCCDNA080-T	R18018785LD01	80	Tumor	NO	0	95.898	MT-ND2
080T	080T-R18018785LD01-BDESCCDNA080-T	R18018785LD01	80	Tumor	NO	0	98.479	MT-ND3
080T	080T-R18018785LD01-BDESCCDNA080-T	R18018785LD01	80	Tumor	NO	0	319.052	MT-ND4
080T	080T-R18018785LD01-BDESCCDNA080-T	R18018785LD01	80	Tumor	NO	0	29.052	MT-ND4L
080T	080T-R18018785LD01-BDESCCDNA080-T	R18018785LD01	80	Tumor	NO	0	135.101	MT-ND5
080T	080T-R18018785LD01-BDESCCDNA080-T	R18018785LD01	80	Tumor	NO	0	4.4	MT-ND6
080T	080T-R18018785LD01-BDESCCDNA080-T	R18018785LD01	80	Tumor	NO	0	2014.087	MT-RNR1
080T	080T-R18018785LD01-BDESCCDNA080-T	R18018785LD01	80	Tumor	NO	0	3300.132	MT-RNR2
081N	081N-R18018786LD01-BDESCCDNA081-N	R18018786LD01	81	Normal	NO	0	101.595	MT-ATP6
081N	081N-R18018786LD01-BDESCCDNA081-N	R18018786LD01	81	Normal	NO	0	2.972	MT-ATP8
081N	081N-R18018786LD01-BDESCCDNA081-N	R18018786LD01	81	Normal	NO	0	1460.445	MT-CO1
081N	081N-R18018786LD01-BDESCCDNA081-N	R18018786LD01	81	Normal	NO	0	486.058	MT-CO2
081N	081N-R18018786LD01-BDESCCDNA081-N	R18018786LD01	81	Normal	NO	0	765.973	MT-CO3
081N	081N-R18018786LD01-BDESCCDNA081-N	R18018786LD01	81	Normal	NO	0	126.424	MT-CYB
081N	081N-R18018786LD01-BDESCCDNA081-N	R18018786LD01	81	Normal	NO	0	65.376	MT-ND1
081N	081N-R18018786LD01-BDESCCDNA081-N	R18018786LD01	81	Normal	NO	0	108.271	MT-ND2
081N	081N-R18018786LD01-BDESCCDNA081-N	R18018786LD01	81	Normal	NO	0	126.553	MT-ND3
081N	081N-R18018786LD01-BDESCCDNA081-N	R18018786LD01	81	Normal	NO	0	253.494	MT-ND4
081N	081N-R18018786LD01-BDESCCDNA081-N	R18018786LD01	81	Normal	NO	0	26.486	MT-ND4L
081N	081N-R18018786LD01-BDESCCDNA081-N	R18018786LD01	81	Normal	NO	0	77.004	MT-ND5
081N	081N-R18018786LD01-BDESCCDNA081-N	R18018786LD01	81	Normal	NO	0	1.744	MT-ND6
081N	081N-R18018786LD01-BDESCCDNA081-N	R18018786LD01	81	Normal	NO	0	60.273	MT-RNR1
081N	081N-R18018786LD01-BDESCCDNA081-N	R18018786LD01	81	Normal	NO	0	740.586	MT-RNR2
081T	081T-R18018787LD01-BDESCCDNA081-T	R18018787LD01	81	Tumor	NO	0	208.377	MT-ATP6
081T	081T-R18018787LD01-BDESCCDNA081-T	R18018787LD01	81	Tumor	NO	0	8.564	MT-ATP8
081T	081T-R18018787LD01-BDESCCDNA081-T	R18018787LD01	81	Tumor	NO	0	3163.545	MT-CO1
081T	081T-R18018787LD01-BDESCCDNA081-T	R18018787LD01	81	Tumor	NO	0	671.359	MT-CO2
081T	081T-R18018787LD01-BDESCCDNA081-T	R18018787LD01	81	Tumor	NO	0	1347.058	MT-CO3
081T	081T-R18018787LD01-BDESCCDNA081-T	R18018787LD01	81	Tumor	NO	0	196.965	MT-CYB
081T	081T-R18018787LD01-BDESCCDNA081-T	R18018787LD01	81	Tumor	NO	0	140.517	MT-ND1
081T	081T-R18018787LD01-BDESCCDNA081-T	R18018787LD01	81	Tumor	NO	0	125.926	MT-ND2
081T	081T-R18018787LD01-BDESCCDNA081-T	R18018787LD01	81	Tumor	NO	0	133.905	MT-ND3
081T	081T-R18018787LD01-BDESCCDNA081-T	R18018787LD01	81	Tumor	NO	0	402.772	MT-ND4
081T	081T-R18018787LD01-BDESCCDNA081-T	R18018787LD01	81	Tumor	NO	0	38.537	MT-ND4L
081T	081T-R18018787LD01-BDESCCDNA081-T	R18018787LD01	81	Tumor	NO	0	273.482	MT-ND5
081T	081T-R18018787LD01-BDESCCDNA081-T	R18018787LD01	81	Tumor	NO	0	6.673	MT-ND6
081T	081T-R18018787LD01-BDESCCDNA081-T	R18018787LD01	81	Tumor	NO	0	181.228	MT-RNR1
081T	081T-R18018787LD01-BDESCCDNA081-T	R18018787LD01	81	Tumor	NO	0	2036.602	MT-RNR2
082N	082N-R18018788LD01-BDESCCDNA082-N	R18018788LD01	82	Normal	NO	0	141.092	MT-ATP6
082N	082N-R18018788LD01-BDESCCDNA082-N	R18018788LD01	82	Normal	NO	0	3.939	MT-ATP8
082N	082N-R18018788LD01-BDESCCDNA082-N	R18018788LD01	82	Normal	NO	0	3741.471	MT-CO1
082N	082N-R18018788LD01-BDESCCDNA082-N	R18018788LD01	82	Normal	NO	0	567.831	MT-CO2
082N	082N-R18018788LD01-BDESCCDNA082-N	R18018788LD01	82	Normal	NO	0	1908.314	MT-CO3
082N	082N-R18018788LD01-BDESCCDNA082-N	R18018788LD01	82	Normal	NO	0	143.235	MT-CYB
082N	082N-R18018788LD01-BDESCCDNA082-N	R18018788LD01	82	Normal	NO	0	58.71	MT-ND1
082N	082N-R18018788LD01-BDESCCDNA082-N	R18018788LD01	82	Normal	NO	0	62.502	MT-ND2
082N	082N-R18018788LD01-BDESCCDNA082-N	R18018788LD01	82	Normal	NO	0	122.423	MT-ND3
082N	082N-R18018788LD01-BDESCCDNA082-N	R18018788LD01	82	Normal	NO	0	208.599	MT-ND4
082N	082N-R18018788LD01-BDESCCDNA082-N	R18018788LD01	82	Normal	NO	0	22.888	MT-ND4L
082N	082N-R18018788LD01-BDESCCDNA082-N	R18018788LD01	82	Normal	NO	0	142.863	MT-ND5
082N	082N-R18018788LD01-BDESCCDNA082-N	R18018788LD01	82	Normal	NO	0	2.555	MT-ND6
082N	082N-R18018788LD01-BDESCCDNA082-N	R18018788LD01	82	Normal	NO	0	237.448	MT-RNR1
082N	082N-R18018788LD01-BDESCCDNA082-N	R18018788LD01	82	Normal	NO	0	1216.303	MT-RNR2
082T	082T-R18018789LD01-BDESCCDNA082-T	R18018789LD01	82	Tumor	NO	0	228.084	MT-ATP6
082T	082T-R18018789LD01-BDESCCDNA082-T	R18018789LD01	82	Tumor	NO	0	7.836	MT-ATP8
082T	082T-R18018789LD01-BDESCCDNA082-T	R18018789LD01	82	Tumor	NO	0	3873.053	MT-CO1
082T	082T-R18018789LD01-BDESCCDNA082-T	R18018789LD01	82	Tumor	NO	0	768.01	MT-CO2
082T	082T-R18018789LD01-BDESCCDNA082-T	R18018789LD01	82	Tumor	NO	0	1631.651	MT-CO3
082T	082T-R18018789LD01-BDESCCDNA082-T	R18018789LD01	82	Tumor	NO	0	249.35	MT-CYB
082T	082T-R18018789LD01-BDESCCDNA082-T	R18018789LD01	82	Tumor	NO	0	95.823	MT-ND1
082T	082T-R18018789LD01-BDESCCDNA082-T	R18018789LD01	82	Tumor	NO	0	105.286	MT-ND2
082T	082T-R18018789LD01-BDESCCDNA082-T	R18018789LD01	82	Tumor	NO	0	81.674	MT-ND3
082T	082T-R18018789LD01-BDESCCDNA082-T	R18018789LD01	82	Tumor	NO	0	399.56	MT-ND4
082T	082T-R18018789LD01-BDESCCDNA082-T	R18018789LD01	82	Tumor	NO	0	46.899	MT-ND4L
082T	082T-R18018789LD01-BDESCCDNA082-T	R18018789LD01	82	Tumor	NO	0	226.505	MT-ND5
082T	082T-R18018789LD01-BDESCCDNA082-T	R18018789LD01	82	Tumor	NO	0	9.824	MT-ND6
082T	082T-R18018789LD01-BDESCCDNA082-T	R18018789LD01	82	Tumor	NO	0	219.019	MT-RNR1
082T	082T-R18018789LD01-BDESCCDNA082-T	R18018789LD01	82	Tumor	NO	0	1391.112	MT-RNR2
083N	083N-R18018790LD01-BDESCCDNA083-N	R18018790LD01	83	Normal	NO	0	120.061	MT-ATP6
083N	083N-R18018790LD01-BDESCCDNA083-N	R18018790LD01	83	Normal	NO	0	3.72	MT-ATP8
083N	083N-R18018790LD01-BDESCCDNA083-N	R18018790LD01	83	Normal	NO	0	3964.49	MT-CO1
083N	083N-R18018790LD01-BDESCCDNA083-N	R18018790LD01	83	Normal	NO	0	512.279	MT-CO2
083N	083N-R18018790LD01-BDESCCDNA083-N	R18018790LD01	83	Normal	NO	0	1584.924	MT-CO3
083N	083N-R18018790LD01-BDESCCDNA083-N	R18018790LD01	83	Normal	NO	0	149.808	MT-CYB
083N	083N-R18018790LD01-BDESCCDNA083-N	R18018790LD01	83	Normal	NO	0	82.893	MT-ND1
083N	083N-R18018790LD01-BDESCCDNA083-N	R18018790LD01	83	Normal	NO	0	78.15	MT-ND2
083N	083N-R18018790LD01-BDESCCDNA083-N	R18018790LD01	83	Normal	NO	0	118.603	MT-ND3
083N	083N-R18018790LD01-BDESCCDNA083-N	R18018790LD01	83	Normal	NO	0	233.818	MT-ND4
083N	083N-R18018790LD01-BDESCCDNA083-N	R18018790LD01	83	Normal	NO	0	25.875	MT-ND4L
083N	083N-R18018790LD01-BDESCCDNA083-N	R18018790LD01	83	Normal	NO	0	143.478	MT-ND5
083N	083N-R18018790LD01-BDESCCDNA083-N	R18018790LD01	83	Normal	NO	0	2.887	MT-ND6
083N	083N-R18018790LD01-BDESCCDNA083-N	R18018790LD01	83	Normal	NO	0	100.501	MT-RNR1
083N	083N-R18018790LD01-BDESCCDNA083-N	R18018790LD01	83	Normal	NO	0	982.137	MT-RNR2
083T	083T-R18018791LD01-BDESCCDNA083-T	R18018791LD01	83	Tumor	NO	0	124.291	MT-ATP6
083T	083T-R18018791LD01-BDESCCDNA083-T	R18018791LD01	83	Tumor	NO	0	6.248	MT-ATP8
083T	083T-R18018791LD01-BDESCCDNA083-T	R18018791LD01	83	Tumor	NO	0	4390.588	MT-CO1
083T	083T-R18018791LD01-BDESCCDNA083-T	R18018791LD01	83	Tumor	NO	0	700.667	MT-CO2
083T	083T-R18018791LD01-BDESCCDNA083-T	R18018791LD01	83	Tumor	NO	0	2147.116	MT-CO3
083T	083T-R18018791LD01-BDESCCDNA083-T	R18018791LD01	83	Tumor	NO	0	101.168	MT-CYB
083T	083T-R18018791LD01-BDESCCDNA083-T	R18018791LD01	83	Tumor	NO	0	105.787	MT-ND1
083T	083T-R18018791LD01-BDESCCDNA083-T	R18018791LD01	83	Tumor	NO	0	79.901	MT-ND2
083T	083T-R18018791LD01-BDESCCDNA083-T	R18018791LD01	83	Tumor	NO	0	111.561	MT-ND3
083T	083T-R18018791LD01-BDESCCDNA083-T	R18018791LD01	83	Tumor	NO	0	300.44	MT-ND4
083T	083T-R18018791LD01-BDESCCDNA083-T	R18018791LD01	83	Tumor	NO	0	32.681	MT-ND4L
083T	083T-R18018791LD01-BDESCCDNA083-T	R18018791LD01	83	Tumor	NO	0	144.663	MT-ND5
083T	083T-R18018791LD01-BDESCCDNA083-T	R18018791LD01	83	Tumor	NO	0	5.948	MT-ND6
083T	083T-R18018791LD01-BDESCCDNA083-T	R18018791LD01	83	Tumor	NO	0	238.622	MT-RNR1
083T	083T-R18018791LD01-BDESCCDNA083-T	R18018791LD01	83	Tumor	NO	0	1922.252	MT-RNR2
084T	084T-R18018793LD01-BDESCCDNA084-T	R18018793	84	Tumor	NO	0	196.017	MT-ATP6
084T	084T-R18018793LD01-BDESCCDNA084-T	R18018793	84	Tumor	NO	0	5.988	MT-ATP8
084T	084T-R18018793LD01-BDESCCDNA084-T	R18018793	84	Tumor	NO	0	2482.007	MT-CO1
084T	084T-R18018793LD01-BDESCCDNA084-T	R18018793	84	Tumor	NO	0	791.919	MT-CO2
084T	084T-R18018793LD01-BDESCCDNA084-T	R18018793	84	Tumor	NO	0	2052.822	MT-CO3
084T	084T-R18018793LD01-BDESCCDNA084-T	R18018793	84	Tumor	NO	0	179.891	MT-CYB
084T	084T-R18018793LD01-BDESCCDNA084-T	R18018793	84	Tumor	NO	0	56.929	MT-ND1
084T	084T-R18018793LD01-BDESCCDNA084-T	R18018793	84	Tumor	NO	0	59.645	MT-ND2
084T	084T-R18018793LD01-BDESCCDNA084-T	R18018793	84	Tumor	NO	0	96.011	MT-ND3
084T	084T-R18018793LD01-BDESCCDNA084-T	R18018793	84	Tumor	NO	0	241.059	MT-ND4
084T	084T-R18018793LD01-BDESCCDNA084-T	R18018793	84	Tumor	NO	0	24.416	MT-ND4L
084T	084T-R18018793LD01-BDESCCDNA084-T	R18018793	84	Tumor	NO	0	94.927	MT-ND5
084T	084T-R18018793LD01-BDESCCDNA084-T	R18018793	84	Tumor	NO	0	4.491	MT-ND6
084T	084T-R18018793LD01-BDESCCDNA084-T	R18018793	84	Tumor	NO	0	177.465	MT-RNR1
084T	084T-R18018793LD01-BDESCCDNA084-T	R18018793	84	Tumor	NO	0	1058.131	MT-RNR2
085N	085N-R18018794LD01-BDESCCDNA085-N	R18018794LD01	85	Normal	NO	0	339.315	MT-ATP6
085N	085N-R18018794LD01-BDESCCDNA085-N	R18018794LD01	85	Normal	NO	0	8.732	MT-ATP8
085N	085N-R18018794LD01-BDESCCDNA085-N	R18018794LD01	85	Normal	NO	0	6683.601	MT-CO1
085N	085N-R18018794LD01-BDESCCDNA085-N	R18018794LD01	85	Normal	NO	0	1034.854	MT-CO2
085N	085N-R18018794LD01-BDESCCDNA085-N	R18018794LD01	85	Normal	NO	0	2341.081	MT-CO3
085N	085N-R18018794LD01-BDESCCDNA085-N	R18018794LD01	85	Normal	NO	0	487.5	MT-CYB
