chr	start	end	col
chr21	33643341	33643349	21
chr11	91186832	91186840	11
chr1	53525563	53525575	1
chr3	180774170	180774170	3
chr2	202635340	202635340	2
chr3	103134195	103134207	3
chr13	35817299	35817309	13
chr1	185519712	185519774	1
chr1	94513241	94513327	1
chr2	178200162	178200172	2
chr10	17311787	17311802	10
chr10	45129337	45129440	10
chr3	196492693	196492775	3
chr20	49003881	49004163	20
chr2	197320294	197320314	2
chr7	95307235	95307242	7
chr11	101420021	101420021	11
chr4	172368178	172368192	4
chr5	135720755	135720816	5
chr1	64788196	64788210	1
chr3	195671328	195671337	3
chr3	195671290	195671329	3
chr10	65982441	65982480	10
chr12	32993528	32993544	12
chr1	61747445	61747459	1
chr8	67504998	67504998	8
chr3	119199925	119200132	3
chr2	54118831	54118831	2
chr12	30011480	30011489	12
chr5	148827050	148827057	5
chr2	48974104	48974146	2
chr2	210196143	210196158	2
chr8	142005481	142005739	8
chr6	41866818	41866825	6
chr6	118066323	118066338	6
chr14	21289172	21289387	14
chr18	51694381	51694500	18
chr3	195672040	195672040	3
chr7	144548672	144548693	7
chr12	9842390	9842400	12
chr3	195671783	195671836	3
chr8	67148064	67148162	8
chr5	51425716	51425728	5
chr17	28242201	28242208	17
chr20	54197126	54197134	20
chr8	115279240	115279257	8
chr6	34225068	34225080	6
chr3	195729191	195729457	3
chr22	40997595	40997604	22
chr3	195671390	195671411	3
chr9	140005939	140005955	9
chr3	195671261	195671360	3
chr3	78457513	78457592	3
chr1	203042463	203042584	1
chr3	197009931	197009940	3
chr10	103359958	103359974	10
chr3	190787131	190787171	3
chr11	20434085	20434247	11
chr8	145289402	145289437	8
chr8	81004035	81004049	8
chr6	108887772	108887785	6
chr8	72030532	72030532	8
chr6	161291906	161291936	6
chr3	156778080	156778089	3
chr8	92122343	92122356	8
chr9	85550224	85550254	9
chr12	124161010	124161114	12
chr9	33796724	33796724	9
chr11	108582886	108582968	11
chr6	104457756	104457907	6
chr12	83288561	83288567	12
chr7	144318436	144318445	7
chr19	3854693	3854708	19
chr7	134285370	134285384	7
chr2	237652982	237652998	2
chr3	189219464	189219478	3
chr9	74696407	74696423	9
chr18	40986307	40986316	18
chr2	62894890	62894911	2
chr4	142576454	142576467	4
chr5	177795279	177795293	5
chr12	126945841	126945849	12
chr16	89907484	89907494	16
chr4	124121673	124121673	4
chr3	103205389	103205404	3
chr1	93897324	93897340	1
chr2	104794290	104794304	2
chr3	193532753	193532952	3
chrX	96189828	96190053	23
chr11	119110620	119110627	11
chr4	136960619	136960786	4
chr12	54775638	54775653	12
chr9	37284975	37284981	9
chr11	72744977	72744990	11
chrY	13478084	13478286	24
chr5	128720501	128720697	5
chr6	70414617	70414811	6
chr3	188964936	188964951	3
chr4	77851741	77851835	4
chr8	64096048	64096060	8
chr18	26743306	26743319	18
chr15	90842685	90842693	15
chr1	76320649	76320657	1
chr7	84778006	84778021	7
chr20	15866093	15866256	20
chr8	115792848	115792861	8
chr11	63435410	63435486	11
chr5	81586163	81586163	5
chr18	9290245	9290360	18
chr6	134841557	134841669	6
chr14	42859145	42859159	14
chr4	26568332	26568345	4
chr7	16297793	16297806	7
chr6	127700144	127700292	6
chr8	125533652	125533665	8
chr2	145129848	145129861	2
chr10	22181818	22181834	10
chr5	748886	749033	5
chr2	173872270	173872286	2
chr7	22325454	22325715	7
chr8	53773057	53773071	8
chr3	195671380	195671460	3
chr10	67580947	67580965	10
chr8	17281967	17281981	8
chr2	122438506	122438569	2
chrX	92400342	92400617	23
chr2	22102866	22102939	2
chr19	47336711	47336739	19
chr16	60947394	60947404	16
chr4	89973905	89973911	4
chr7	2601058	2601072	7
chr7	28131909	28132096	7
chr10	47534148	47534318	10
chr6	170494551	170494561	6
chr10	64163745	64163760	10
chr7	95209224	95209238	7
chr8	132723852	132723866	8
chr3	112492737	112492745	3
chr7	120268093	120268093	7
chr18	50364704	50364713	18
chr15	48215158	48215251	15
chr7	157139953	157139960	7
chr1	68332292	68332301	1
chr2	78903315	78903324	2
chr2	79009222	79009229	2
chr3	89827627	89827634	3
chr4	134544071	134544084	4
chr8	36686948	36686948	8
chr9	75806644	75806657	9
chr4	88893346	88893361	4
chr9	38447211	38447226	9
chr20	46172982	46172998	20
chr1	159434322	159434339	1
chr5	109916138	109916236	5
chr20	34295936	34295953	20
chr10	53378335	53378456	10
chr3	195671261	195671317	3
chr6	90431272	90431272	6
chr20	47814627	47814638	20
chr1	222496404	222496415	1
chr6	77703268	77703380	6
chr8	101968294	101968294	8
chr1	75253092	75253104	1
chr4	67995916	67995923	4
chr2	195372727	195372746	2
chr3	115769823	115769858	3
chr3	195671261	195671411	3
chr8	16552933	16552951	8
chr1	85466042	85466056	1
chr6	2363487	2363501	6
chr2	17041847	17041863	2
chr15	70936250	70936262	15
chr3	195671890	195671909	3
chr20	15493685	15493693	20
chr8	82798668	82798688	8
chr5	115994301	115994314	5
chr4	159219545	159219557	4
chr20	16674661	16674675	20
chr11	94348557	94348571	11
chr12	12418324	12418340	12
chr5	108020688	108020698	5
chr4	29470189	29470199	4
chr3	195671518	195671752	3
chr10	24740125	24740138	10
chr1	43887525	43887538	1
chr6	36342684	36342684	6
chr1	195908731	195908766	1
chr3	195671312	195671320	3
chr5	67702896	67702910	5
chr4	64531360	64531373	4
chr8	87707747	87707754	8
chr2	54813839	54813853	2
chr17	43126854	43126870	17
chr16	25201868	25201883	16
chr13	84562439	84562455	13
chr5	749105	749175	5
chr10	93748700	93748700	10
chr17	28839559	28839571	17
chr15	71590284	71590284	15
chr13	30442942	30442966	13
chr11	32691765	32691781	11
chr15	92409445	92409445	15
chr4	136692636	136692650	4
chr2	203202528	203202540	2
chr2	26286527	26286537	2
chr8	141806555	141806570	8
chr4	118910830	118910830	4
chr3	136003359	136003377	3
chr6	119162607	119162607	6
chr9	139660825	139660839	9
chr10	3475201	3475213	10
chr5	104794657	104794657	5
chr19	50178399	50178412	19
chr10	17281326	17281326	10
chr2	132044713	132044713	2
chr3	63015575	63015575	3
chr2	23764692	23764704	2
chr17	35713810	35713824	17
chr7	76981443	76981456	7
chr1	194710500	194710637	1
chr2	164386197	164386212	2
chr3	53368701	53368717	3
chrX	96318576	96318576	23
chr10	24302864	24303086	10
chr4	148143425	148143435	4
chr13	95553177	95553194	13
chr13	107473657	107473667	13
chr20	53911402	53911415	20
chr14	65173256	65173269	14
chr9	121396780	121396796	9
chr11	58993626	58993639	11
chr22	32785303	32785379	22
chr2	113270899	113270969	2
chrX	30289284	30289284	23
chr5	42074746	42074759	5
chr5	749175	749213	5
chr1	200671094	200671107	1
chr3	111495228	111495243	3
chr12	85994448	85994462	12
chr16	67804067	67804081	16
chr2	156936930	156936942	2
chr3	195671837	195671892	3
chr17	62217276	62217290	17
chr3	102581534	102581619	3
chr9	32095011	32095011	9
chr3	195671237	195671273	3
chr2	3814272	3814286	2
chr7	127791902	127792018	7
chr3	195671359	195671367	3
chr1	181562012	181562027	1
chr3	104266206	104266237	3
chr8	130256095	130256106	8
chr8	137236104	137236124	8
chr3	4911044	4911060	3
chr3	167693390	167693404	3
chr5	748960	749223	5
chr16	76002075	76002089	16
chr22	38715145	38715157	22
chr9	15199733	15199970	9
chr12	85694325	85694350	12
chr9	87206206	87206226	9
chr16	87342979	87343006	16
chr7	3065027	3065198	7
chr1	33042688	33042702	1
chr3	195672006	195672072	3
chr5	130825925	130825932	5
chrY	9941098	9941099	24
chrX	3559463	3559474	23
chr6	169336940	169336951	6
chr1	180931669	180931681	1
chr4	167868208	167868221	4
chr21	39556999	39557030	21
chr13	92585707	92585720	13
chr2	139547992	139547992	2
chr2	113015011	113015195	2
chr19	37311167	37311177	19
chr8	123709937	123709978	8
chr6	134861957	134861973	6
chr7	145153262	145153363	7
chr15	54673203	54673271	15
chr2	175743493	175743505	2
chr2	144385948	144385948	2
chr1	43757893	43757905	1
chr1	43757893	43757905	1
chr5	106813126	106813142	5
chr6	9141387	9141387	6
chr11	119015783	119015783	11
chr1	37366297	37366311	1
chr2	35323206	35323212	2
chr4	171370863	171370879	4
chr7	26617693	26617709	7
chr7	97149818	97149921	7
chr8	76770756	76770952	8
chr10	27093311	27093325	10
chr14	43042798	43042811	14
chr9	33796800	33796804	9
chr3	195729456	195729478	3
chr12	40896757	40896757	12
chr9	33796807	33796810	9
chr2	26025669	26025682	2
chr7	33777076	33777076	7
chr2	77343232	77343249	2
chr3	35902618	35902635	3
chr11	8459168	8459182	11
chr12	3796353	3796368	12
chr13	87156619	87156631	13
chr3	116834996	116835010	3
chr16	68522842	68522853	16
chr8	118335201	118335201	8
chr3	195671351	195671395	3
chr12	46866306	46866479	12
chr12	65215791	65215804	12
chr13	20764946	20764957	13
chr3	195729457	195729528	3
chr3	175581094	175581103	3
chr1	184617790	184617804	1
chr1	77548391	77548404	1
chr14	72514849	72514861	14
chr5	749175	749223	5
chr4	60150397	60150412	4
chr9	33796803	33796804	9
chr9	21763513	21763527	9
chr2	154249782	154249861	2
chr3	195862360	195862386	3
chr2	218265046	218265080	2
chr3	180018921	180018930	3
chr5	45512529	45512529	5
chr2	132044676	132044676	2
chr15	34265188	34265194	15
chr8	114301826	114301835	8
chr5	749047	749175	5
chr1	67894164	67894164	1
chr7	57470763	57470791	7
chr3	195671340	195671382	3
chr13	26660829	26661014	13
chr17	4039638	4039697	17
chrY	13471071	13471071	24
chr5	118249084	118249256	5
chr8	8427637	8427653	8
chr22	32256468	32256481	22
chr2	130077796	130077813	2
chr4	95403271	95403279	4
chr7	96765732	96765745	7
chr12	50795836	50795842	12
chr3	195671827	195671948	3
chr16	68706034	68706254	16
chr1	205229983	205229997	1
chr17	63816168	63816185	17
chr3	97980795	97980809	3
chr7	68492693	68492699	7
chr12	20757181	20757193	12
chr6	1316337	1316351	6
chr2	207859960	207859974	2
chr15	61020977	61020993	15
chr5	134372281	134372294	5
chr2	106413723	106413736	2
chr3	48569991	48569999	3
chr13	67168665	67168692	13
chr3	195671764	195671995	3
chr19	49775755	49775755	19
chr9	33796811	33796812	9
chr1	177011925	177012076	1
chr3	195671808	195671989	3
chr1	230637296	230637316	1
chr7	90285263	90285277	7
chr7	154682171	154682186	7
chr11	37207334	37207387	11
chr3	2515941	2515956	3
chr3	2515941	2515956	3
chr7	76599752	76599759	7
chr15	65299126	65299135	15
chr1	58918740	58918753	1
chr5	749175	749223	5
chr16	59460293	59460310	16
chr4	140663038	140663050	4
chr3	102417971	102418018	3
chr11	19019620	19019627	11
chr9	33796811	33796813	9
chr18	28203780	28203793	18
chr3	133071455	133071470	3
chr2	189649378	189649393	2
chr22	38207748	38207785	22
chr3	95372548	95372564	3
chr2	12517340	12517376	2
